,PRP$,IN,RB,NN,NNPS,UH,POS,WP,JJ,JJS,.,:,$,LS,RBR,MD,PDT,-RRB-,CC,TO,VBG,PRP,NNS,WRB,DT,RBS,VBN,JJR,WDT,NNP,",",VB,VBP,VBD,EX,#,-LRB-,RP,WP$,``,FW,'',VBZ,CD
JJS,0.005434782608695651,0.13043478260869565,0.021739130434782608,0.24456521739130435,0.010869565217391302,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.11413043478260868,0.005434782608695651,0.027173913043478257,0.010869565217391302,0.016304347826086956,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.021739130434782608,0.010869565217391302,0.12500000000000003,0.005434782608695651,0.016304347826086956,0.005434782608695651,0.016304347826086956,0.005434782608695651,0.005434782608695651,0.016304347826086956,0.005434782608695651,0.016304347826086956,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.005434782608695651,0.010869565217391302,0.043478260869565216
.,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.007272727272727271,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.007272727272727271,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.05454545454545455,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.003636363636363635,0.018181818181818177,0.003636363636363635,0.02181818181818182,0.003636363636363635,0.007272727272727271,0.003636363636363635,0.003636363636363635,0.029090909090909087,0.003636363636363635,0.003636363636363635,0.010909090909090908,0.003636363636363635,0.7163636363636363,0.003636363636363635,0.003636363636363635
:,0.0020833333333333333,0.08333333333333333,0.041666666666666664,0.03541666666666667,0.0020833333333333333,0.0020833333333333333,0.0020833333333333333,0.014583333333333335,0.07083333333333335,0.0020833333333333333,0.008333333333333335,0.0020833333333333333,0.012500000000000006,0.010416666666666668,0.0041666666666666675,0.014583333333333335,0.0020833333333333333,0.0020833333333333333,0.0625,0.008333333333333335,0.01666666666666667,0.02916666666666666,0.03541666666666667,0.008333333333333335,0.10208333333333332,0.0020833333333333333,0.014583333333333335,0.0041666666666666675,0.006250000000000002,0.15416666666666667,0.0020833333333333333,0.010416666666666668,0.012500000000000006,0.027083333333333334,0.0041666666666666675,0.0020833333333333333,0.0020833333333333333,0.0020833333333333333,0.0020833333333333333,0.041666666666666664,0.0020833333333333333,0.0020833333333333333,0.012500000000000006,0.12083333333333336
$,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.014754098360655742,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.0016393442622950815,0.9163934426229509
LS,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.10526315789473682,0.05263157894736841,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.12280701754385966,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.017543859649122806
RBR,0.006535947712418302,0.17647058823529413,0.07843137254901959,0.006535947712418302,0.006535947712418302,0.006535947712418302,0.006535947712418302,0.006535947712418302,0.2549019607843137,0.006535947712418302,0.0457516339869281,0.0196078431372549,0.006535947712418302,0.006535947712418302,0.006535947712418302,0.013071895424836605,0.006535947712418302,0.006535947712418302,0.0196078431372549,0.013071895424836605,0.0196078431372549,0.006535947712418302,0.006535947712418302,0.013071895424836605,0.0457516339869281,0.006535947712418302,0.03921568627450981,0.006535947712418302,0.006535947712418302,0.006535947712418302,0.0261437908496732,0.0196078431372549,0.006535947712418302,0.013071895424836605,0.006535947712418302,0.006535947712418302,0.013071895424836605,0.006535947712418302,0.006535947712418302,0.006535947712418302,0.006535947712418302,0.006535947712418302,0.013071895424836605,0.006535947712418302
MD,0.001291989664082687,0.001291989664082687,0.14599483204134367,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.0025839793281653744,0.0025839793281653744,0.0025839793281653744,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.0025839793281653744,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.0025839793281653744,0.0025839793281653744,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.006459948320413436,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.0025839793281653744,0.005167958656330749,0.7777777777777778,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.005167958656330749,0.001291989664082687,0.001291989664082687,0.001291989664082687,0.001291989664082687
PDT,0.06349206349206349,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.2698412698412698,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876,0.015873015873015876
-RRB-,0.006896551724137933,0.06896551724137931,0.04137931034482759,0.04137931034482759,0.006896551724137933,0.006896551724137933,0.006896551724137933,0.006896551724137933,0.006896551724137933,0.006896551724137933,0.09655172413793103,0.11034482758620691,0.006896551724137933,0.006896551724137933,0.006896551724137933,0.020689655172413793,0.006896551724137933,0.006896551724137933,0.04137931034482759,0.020689655172413793,0.006896551724137933,0.013793103448275865,0.006896551724137933,0.006896551724137933,0.04827586206896551,0.006896551724137933,0.013793103448275865,0.006896551724137933,0.013793103448275865,0.013793103448275865,0.14482758620689656,0.006896551724137933,0.020689655172413793,0.05517241379310345,0.006896551724137933,0.006896551724137933,0.006896551724137933,0.006896551724137933,0.006896551724137933,0.013793103448275865,0.006896551724137933,0.006896551724137933,0.03448275862068965,0.013793103448275865
CC,0.0160857908847185,0.04825737265415549,0.050402144772117956,0.11045576407506703,0.002144772117962466,0.0005361930294906168,0.0005361930294906168,0.0026809651474530823,0.10187667560321716,0.002144772117962466,0.0005361930294906168,0.0010723860589812338,0.0225201072386059,0.0010723860589812338,0.002144772117962466,0.010187667560321717,0.0005361930294906168,0.0010723860589812338,0.0010723860589812338,0.00804289544235925,0.0257372654155496,0.04396782841823057,0.06702412868632707,0.004289544235924932,0.11581769436997316,0.0010723860589812338,0.01715817694369973,0.011796246648793562,0.0016085790884718496,0.15281501340482573,0.009115281501340479,0.03485254691689008,0.013404825737265412,0.03860589812332439,0.005361930294906165,0.0005361930294906168,0.0005361930294906168,0.0005361930294906168,0.0005361930294906168,0.006434316353887399,0.0005361930294906168,0.0005361930294906168,0.021447721179624662,0.04289544235924933
TO,0.013559322033898303,0.006214689265536724,0.008474576271186437,0.02824858757062147,0.0005649717514124294,0.0005649717514124294,0.0005649717514124294,0.0005649717514124294,0.0288135593220339,0.0005649717514124294,0.0005649717514124294,0.0005649717514124294,0.0344632768361582,0.0005649717514124294,0.002259887005649718,0.0005649717514124294,0.0005649717514124294,0.0005649717514124294,0.001129943502824859,0.0005649717514124294,0.006779661016949151,0.006214689265536724,0.02768361581920904,0.001129943502824859,0.12937853107344632,0.0005649717514124294,0.0016949152542372874,0.004519774011299437,0.0005649717514124294,0.042372881355932195,0.001129943502824859,0.5621468926553672,0.0005649717514124294,0.0005649717514124294,0.0005649717514124294,0.003954802259887006,0.0005649717514124294,0.0005649717514124294,0.0005649717514124294,0.003954802259887006,0.0005649717514124294,0.0005649717514124294,0.0005649717514124294,0.07288135593220338
VBG,0.025,0.12338709677419353,0.03709677419354839,0.14354838709677423,0.0016129032258064512,0.0008064516129032255,0.0008064516129032255,0.0016129032258064512,0.06693548387096773,0.0008064516129032255,0.02016129032258064,0.0032258064516129024,0.0072580645161290334,0.0008064516129032255,0.004838709677419355,0.0008064516129032255,0.0016129032258064512,0.0016129032258064512,0.016935483870967744,0.08790322580645163,0.0056451612903225794,0.02741935483870968,0.08870967741935483,0.0008064516129032255,0.18467741935483872,0.0016129032258064512,0.019354838709677424,0.011290322580645159,0.0008064516129032255,0.03467741935483871,0.018548387096774192,0.0016129032258064512,0.0008064516129032255,0.0032258064516129024,0.0008064516129032255,0.0008064516129032255,0.0008064516129032255,0.019354838709677424,0.0008064516129032255,0.004838709677419355,0.0008064516129032255,0.002419354838709677,0.0008064516129032255,0.02258064516129032
PRP,0.0007189072609633357,0.034507548526240106,0.04672897196261683,0.003594536304816679,0.0007189072609633357,0.0007189072609633357,0.0007189072609633357,0.002156721782890008,0.007189072609633359,0.0007189072609633357,0.028756290438533425,0.0050323508267433505,0.0007189072609633357,0.0007189072609633357,0.0014378145219266715,0.12652767792954708,0.0007189072609633357,0.0014378145219266715,0.01078360891445004,0.019410496046010063,0.004313443565780016,0.003594536304816679,0.0014378145219266715,0.0007189072609633357,0.010064701653486703,0.0007189072609633357,0.003594536304816679,0.003594536304816679,0.0014378145219266715,0.0028756290438533435,0.017972681524083396,0.00934579439252336,0.1718188353702372,0.25521207764198417,0.0007189072609633357,0.0007189072609633357,0.0028756290438533435,0.003594536304816679,0.0007189072609633357,0.004313443565780016,0.0007189072609633357,0.0007189072609633357,0.2048885693745507,0.0007189072609633357
NNS,0.0008191685439279132,0.24206430473069837,0.02723735408560311,0.023551095637927504,0.00020479213598197844,0.00020479213598197844,0.009625230391152977,0.0077821011673151735,0.019045668646323986,0.00020479213598197844,0.12389924226909685,0.020274421462215846,0.0008191685439279132,0.00020479213598197844,0.0016383370878558267,0.02580380913372926,0.00020479213598197844,0.002252713495801761,0.056932213802989975,0.03788654515666598,0.013516280974810573,0.005734179807495393,0.013516280974810573,0.0028670899037476967,0.014745033790702435,0.00040958427196395656,0.020479213598197828,0.0026622977677657187,0.015564202334630349,0.0012287528158918702,0.11734589391767354,0.003481466311693631,0.09277083759983615,0.07249641613762033,0.00020479213598197844,0.00020479213598197844,0.003481466311693631,0.00020479213598197844,0.0008191685439279132,0.001843129223837804,0.00020479213598197844,0.0047102191275855,0.00921564611918902,0.0016383370878558267
WRB,0.020725388601036274,0.02590673575129534,0.0310880829015544,0.06217616580310881,0.005181347150259067,0.005181347150259067,0.005181347150259067,0.005181347150259067,0.08808290155440415,0.005181347150259067,0.005181347150259067,0.005181347150259067,0.005181347150259067,0.005181347150259067,0.005181347150259067,0.010362694300518135,0.010362694300518135,0.005181347150259067,0.005181347150259067,0.015544041450777207,0.005181347150259067,0.10880829015544041,0.06217616580310881,0.005181347150259067,0.24870466321243523,0.010362694300518135,0.0310880829015544,0.005181347150259067,0.005181347150259067,0.051813471502590656,0.005181347150259067,0.005181347150259067,0.020725388601036274,0.015544041450777207,0.005181347150259067,0.005181347150259067,0.005181347150259067,0.010362694300518135,0.005181347150259067,0.010362694300518135,0.005181347150259067,0.005181347150259067,0.020725388601036274,0.020725388601036274
DT,0.00030266343825665866,0.009382566585956419,0.00923123486682809,0.4668583535108959,0.0036319612590799025,0.0001513317191283293,0.0001513317191283293,0.0010593220338983053,0.20596246973365617,0.008474576271186437,0.0015133171912832936,0.00030266343825665866,0.0075665859564164615,0.0001513317191283293,0.001815980629539951,0.0012106537530266349,0.0001513317191283293,0.00030266343825665866,0.0006053268765133173,0.00030266343825665866,0.011198547215496365,0.0012106537530266349,0.07733050847457627,0.0001513317191283293,0.0007566585956416467,0.0025726392251815985,0.009836561743341403,0.006355932203389829,0.0004539951573849881,0.12787530266343825,0.0015133171912832936,0.0001513317191283293,0.0013619854721549636,0.00196731234866828,0.0001513317191283293,0.0001513317191283293,0.0006053268765133173,0.0001513317191283293,0.0001513317191283293,0.006961259079903149,0.00030266343825665866,0.00030266343825665866,0.005599273607748187,0.023759079903147705
RBS,0.014084507042253521,0.042253521126760556,0.09859154929577466,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.28169014084507044,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.014084507042253521
VBN,0.01394538059267867,0.35851249273678093,0.04532248692620569,0.07030796048808834,0.0005810575246949448,0.0005810575246949448,0.0005810575246949448,0.0023242300987797795,0.055781522370714695,0.0005810575246949448,0.05461940732132481,0.008134805345729228,0.0116211504938989,0.0005810575246949448,0.0017431725740848349,0.0005810575246949448,0.0005810575246949448,0.0005810575246949448,0.01394538059267867,0.10807669959325973,0.01626961069145846,0.006972690296339335,0.03718768158047647,0.0023242300987797795,0.061592097617664134,0.0011621150493898898,0.02382335851249274,0.0029052876234747244,0.0005810575246949448,0.01917489831493318,0.030214991284137134,0.0011621150493898898,0.0017431725740848349,0.0029052876234747244,0.0005810575246949448,0.0005810575246949448,0.0005810575246949448,0.01568855316676351,0.0005810575246949448,0.006972690296339335,0.0005810575246949448,0.00464846019755956,0.0011621150493898898,0.0116211504938989
JJR,0.0029069767441860473,0.2819767441860465,0.005813953488372095,0.18023255813953487,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.05232558139534884,0.0029069767441860473,0.06976744186046512,0.005813953488372095,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.031976744186046506,0.020348837209302324,0.005813953488372095,0.0029069767441860473,0.1744186046511628,0.005813953488372095,0.017441860465116275,0.0029069767441860473,0.005813953488372095,0.0029069767441860473,0.0029069767441860473,0.014534883720930238,0.031976744186046506,0.005813953488372095,0.0029069767441860473,0.005813953488372095,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.0029069767441860473,0.005813953488372095,0.0029069767441860473,0.005813953488372095
WDT,0.002450980392156863,0.0073529411764705855,0.04901960784313726,0.009803921568627454,0.002450980392156863,0.002450980392156863,0.002450980392156863,0.002450980392156863,0.012254901960784319,0.004901960784313727,0.002450980392156863,0.004901960784313727,0.002450980392156863,0.002450980392156863,0.004901960784313727,0.11274509803921567,0.002450980392156863,0.002450980392156863,0.002450980392156863,0.004901960784313727,0.002450980392156863,0.041666666666666664,0.014705882352941173,0.002450980392156863,0.022058823529411763,0.002450980392156863,0.004901960784313727,0.002450980392156863,0.002450980392156863,0.014705882352941173,0.004901960784313727,0.002450980392156863,0.15441176470588236,0.18627450980392157,0.004901960784313727,0.002450980392156863,0.002450980392156863,0.002450980392156863,0.002450980392156863,0.0073529411764705855,0.002450980392156863,0.002450980392156863,0.27205882352941174,0.004901960784313727
NNP,0.00013135426244581638,0.045711283331144104,0.0080126100091948,0.05490608170235124,0.017076054117956124,0.00013135426244581638,0.05122816235386839,0.0009194798371207147,0.008143964271640616,0.00013135426244581638,0.051490870878760024,0.00683042164718245,0.00039406278733744923,0.00013135426244581638,0.00013135426244581638,0.009982923945882044,0.00013135426244581638,0.0030211480362537764,0.03835544463417838,0.00683042164718245,0.0010508340995665313,0.0007881255746748986,0.021804807566005516,0.00039406278733744923,0.0022330224615788787,0.00013135426244581638,0.0009194798371207147,0.00026270852489163277,0.0007881255746748986,0.38013923551819256,0.15158281886247207,0.0010508340995665313,0.0044660449231577574,0.0625246289242086,0.00013135426244581638,0.00013135426244581638,0.0030211480362537764,0.00026270852489163277,0.00013135426244581638,0.0009194798371207147,0.00013135426244581638,0.0038092736109286737,0.038749507421515825,0.020885327728884802
",",0.0032878098128477497,0.07789580171977745,0.057410217501264536,0.0483055134041477,0.000505816894284269,0.00025290844714213466,0.00025290844714213466,0.011633788568538186,0.04324734446130501,0.0015174506828528073,0.00025290844714213466,0.00025290844714213466,0.009610520991401117,0.000505816894284269,0.0012645422357106726,0.012392513909964592,0.00025290844714213466,0.00025290844714213466,0.08421851289833082,0.007334344967121904,0.039959534648457265,0.03920080930703085,0.025290844714213456,0.008093070308548306,0.13050075872534145,0.001011633788568538,0.023773394031360646,0.0015174506828528073,0.0343955488113303,0.13480020232675768,0.00025290844714213466,0.003034901365705615,0.008851795649974709,0.05538694992412748,0.004805260495700558,0.00025290844714213466,0.0007587253414264037,0.00025290844714213466,0.0012645422357106726,0.013404147698533134,0.000505816894284269,0.05614567526555387,0.029843196762771876,0.026049570055639862
VB,0.037827352085354024,0.11008729388942773,0.03976721629485935,0.06741028128031036,0.0014548981571290008,0.0004849660523763335,0.0004849660523763335,0.002909796314258002,0.0834141610087294,0.0019398642095053342,0.02376333656644035,0.004849660523763336,0.009699321047526672,0.0004849660523763335,0.006304558680892338,0.0004849660523763335,0.003394762366634335,0.0014548981571290008,0.009699321047526672,0.029582929194956357,0.013094083414161005,0.03394762366634336,0.04558680892337536,0.003879728419010669,0.23181377303588752,0.0004849660523763335,0.09747817652764307,0.00824442289039767,0.0009699321047526671,0.03637245392822502,0.018913676042677012,0.009699321047526672,0.0004849660523763335,0.0019398642095053342,0.0009699321047526671,0.0004849660523763335,0.0024248302618816676,0.02424830261881668,0.0009699321047526671,0.006304558680892338,0.0004849660523763335,0.0019398642095053342,0.0014548981571290008,0.022308438409311352
